0,1,2,3,4,5,6,7,8,9
75,97,120,143,165,187,210,232,255,277
75,97,120,143,165,188,210,233,255,278
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,209,232,254,277
75,97,120,142,165,187,210,232,260,283
75,97,120,142,164,187,209,232,254,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,164,187,209,232,254,277
75,97,120,142,164,187,210,232,254,277
75,97,119,142,164,187,209,232,254,277
75,97,120,142,165,187,210,233,255,278
75,97,120,142,165,187,210,232,255,278
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,119,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,188,210,233,255,278
75,97,120,142,165,187,210,232,255,278
75,97,120,142,165,188,210,233,256,278
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,278
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,193,215,238,260,283
75,97,120,142,164,187,209,232,254,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,278
75,97,120,142,165,187,210,232,255,277
75,97,120,142,164,187,210,232,254,277
75,97,120,142,164,187,209,232,254,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,188,210,233,255,278
75,97,119,142,164,187,209,232,254,277
75,97,120,142,164,187,209,232,254,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,254,277
75,97,120,143,171,193,216,238,261,283
75,97,120,142,165,187,210,232,255,277
75,97,120,142,164,187,209,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,119,142,164,187,209,232,254,277
75,97,120,142,165,187,210,232,256,278
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,233,255,278
75,97,120,142,165,187,210,232,255,277
75,97,119,142,164,187,212,234,257,279
75,97,120,142,165,188,210,233,255,278
75,97,119,142,164,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,209,232,254,277
75,97,120,142,165,187,210,232,255,278
75,97,119,142,164,187,210,232,255,277
75,97,120,142,165,187,210,232,255,278
75,97,120,142,165,187,212,235,258,280
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,103,125,148,170,192,215,237,260,282
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,143,165,187,211,233,256,278
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,254,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,233,255,278
75,97,119,142,164,187,209,234,257,279
75,97,120,142,165,187,210,233,255,278
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,209,232,254,277
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,232,255,278
75,97,120,142,165,187,210,232,255,278
75,97,120,142,165,187,210,232,255,277
75,97,120,143,165,187,210,232,255,277
75,97,120,142,165,187,210,233,255,278
75,97,120,142,165,187,210,232,255,278
75,97,120,142,165,187,210,232,255,278
75,97,120,142,165,188,210,233,256,278
75,97,120,142,165,187,210,232,255,277
75,97,120,142,165,187,210,233,255,278
